Node:
0,Node 0
1,Node 1
2,Node 2
3,Node 3
4,Node 4
5,Node 5
6,Node 6
7,Node 7
8,Node 8
9,Node 9
10,Node 10
11,Node 11
12,Node 12
13,Node 13
14,Node 14
15,Node 15
16,Node 16
17,Node 17
18,Node 18
19,Node 19

Edge:
0,0,1,13
1,0,5,14
2,0,7,14
3,0,11,17
4,0,6,19
5,0,12,16
6,0,2,19
7,0,14,18
8,0,3,19
9,0,2,18
10,1,12,16
11,1,5,11
12,1,13,14
13,1,19,18
14,1,3,18
15,1,6,18
16,1,18,12
17,1,2,18
18,1,14,14
19,1,17,13
20,1,10,13
21,2,4,17
22,2,14,13
23,2,9,15
24,2,5,16
25,2,19,14
26,2,18,14
27,2,19,14
28,3,6,10
29,3,17,12
30,3,6,13
31,3,7,13
32,3,17,13
33,3,18,11
34,4,13,14
35,4,7,11
36,4,19,10
37,4,19,12
38,4,13,16
39,4,13,13
40,4,6,13
41,4,17,14
42,4,9,10
43,5,10,18
44,5,13,19
45,5,9,13
46,5,15,18
47,5,7,12
48,5,8,10
49,5,14,13
50,5,10,11
51,5,6,18
52,6,7,14
53,6,12,11
54,6,7,11
55,6,11,10
56,6,8,13
57,6,16,16
58,6,15,14
59,6,7,17
60,6,9,11
61,7,8,16
62,7,19,17
63,7,9,16
64,7,19,17
65,7,9,15
66,7,16,12
67,7,19,19
68,7,19,19
69,8,9,12
70,8,13,19
71,8,9,19
72,8,10,16
73,8,19,10
74,8,16,18
75,8,19,14
76,9,11,16
77,9,19,15
78,9,11,13
79,10,14,16
80,10,18,12
81,10,14,13
82,10,16,15
83,10,12,11
84,10,14,19
85,11,17,12
86,11,18,14
87,11,12,11
88,12,15,18
89,12,17,15
90,12,19,11
91,12,15,16
92,12,13,15
93,12,16,13
94,13,15,15
95,13,17,15
96,14,16,12
97,14,19,10
98,15,16,18
99,15,18,11
100,15,18,18
101,15,16,11
102,15,18,18
103,16,18,15
104,16,17,13
105,16,17,18
106,16,19,14
107,16,17,14
108,17,18,13
109,17,18,16
110,18,19,17
111,18,19,11
112,18,19,16
113,18,19,11

